drug,disease
cefazolin,"Bacterial Endocarditis Prevention (Bacterial Endocarditis Prophylaxis), Bone infection (Osteomyelitis), Cholecystitis, Endocarditis, Joint Infection, Kidney Infections (Pyelonephritis), Peritonitis, Prevention of Perinatal Group B Streptococcal Disease, Septicemia, Surgical Prophylaxis"
cefdinir,"Sinusitis, Bronchitis, Pneumonia, Skin or Soft Tissue Infection, Skin and Structure Infection, Otitis Media, Strep Throat (Streptococcal Pharyngitis), Tonsillitis/Pharyngitis"
cefepime,"Bacteremia, Febrile Neutropenia, Intraabdominal Infection, Kidney Infections (Pyelonephritis), Nosocomial Pneumonia"
cefixime,"Gonococcal Infection, Disseminated, Gonococcal Infection, Uncomplicated, Upper Respiratory Tract Infection, STD Prophylaxis, Tonsillitis/Pharyngitis"
cefotaxime,"CNS Infection, Bacteremia, Bone infection (Osteomyelitis), Pneumonia, Cesarean Section, Lyme Disease, Endometritis, Epiglottitis, Gonococcal Infection, Disseminated, Intraabdominal Infection, Kidney Infections (Pyelonephritis), Lyme Disease, Arthritis, Lyme Disease, Carditis, Lyme Disease, Neurologic, Meningitis, Pelvic Inflammatory Disease, Peritonitis, Salmonella Gastroenteritis, Sepsis, Septicemia, Surgical Prophylaxis"
cefotetan,"Cesarean Section, Cholecystitis"
cefoxitin,"Aspiration Pneumonia, Cesarean Section, Cholecystitis, Deep Neck Infection, Endometritis, Septicemia"
cefpodoxime,"Bladder Infection, Gonococcal Infection, Disseminated, Kidney Infections (Pyelonephritis), Tonsillitis/Pharyngitis"
ceftazidime,"Bacteremia, Bone infection (Osteomyelitis), Otitis Externa, Endocarditis, Endometritis, Febrile Neutropenia, Intraabdominal Infection, Joint Infection, Melioidosis, Meningitis, Nosocomial Pneumonia, Pelvic Inflammatory Disease, Peritonitis, Pneumonia with Cystic Fibrosis, Sepsis, Septicemia"
ceftriaxone,"Urinary Tract Infection, Bacteremia, Bacterial Endocarditis Prevention (Bacterial Endocarditis Prophylaxis), Bacterial Infection, Bone infection (Osteomyelitis), Pneumonia, Chancroid, Lyme Disease, Skin and Structure Infection, Conjunctivitis, Endocarditis, Endometritis, Epididymitis, Non-Specific, Epididymitis, Sexually Transmitted, Epiglottitis, Eye Conditions, Gastroenteritis, Gonococcal Infection, Disseminated, Gonococcal Infection, Uncomplicated, Intraabdominal Infection, Joint Infection, Kidney Infections (Pyelonephritis), Lyme Disease, Arthritis, Lyme Disease, Carditis, Lyme Disease, Neurologic, Meningitis, Meningococcal Meningitis Prophylaxis, Neurosyphilis, Pelvic Inflammatory Disease, Peritonitis, Proctitis, Salmonella Enteric Fever, Salmonella Gastroenteritis, Sepsis, Septicemia, Shigellosis, STD Prophylaxis, Surgical Prophylaxis, Syphilis, Early, Typhoid Fever"
cefuroxime,"Urinary Tract Infection, Sinusitis, Bacterial Infection, Bladder Infection, Bone infection (Osteomyelitis), Bronchitis, Pneumonia, Lyme Disease, Skin and Structure Infection, Otitis Media, Epiglottitis, Gonococcal Infection, Disseminated, Gonococcal Infection, Uncomplicated, Strep Throat (Streptococcal Pharyngitis), Impetigo, Joint Infection, Kidney Infections (Pyelonephritis), Meningitis, Peritonitis, Upper Respiratory Tract Infection, Sepsis, Surgical Prophylaxis, Tonsillitis/Pharyngitis, Wound Infection"
celecoxib,"Ankylosing Spondylitis, Rheumatoid Arthritis, Osteoarthritis, Period Pain (Dysmenorrhea), Familial Adenomatous Polyposis, Fibromatosis, Juvenile Rheumatoid Arthritis, Spondyloarthritis"
cemiplimab,Squamous Cell Carcinoma
cenegermin,Neurotrophic Keratitis
cephalexin,"Acne, Bacterial Endocarditis Prevention (Bacterial Endocarditis Prophylaxis), Bacterial Infection, Bladder Infection, Bone infection (Osteomyelitis), Skin or Soft Tissue Infection, Prostatitis, Otitis Media, Kidney Infections (Pyelonephritis), Pharyngitis, Upper Respiratory Tract Infection"
cerliponase alfa,Neuronal Ceroid Lipofuscinosis
certolizumab,"Crohn's Disease, Crohn's Disease, Acute, Crohn's Disease, Maintenance, Psoriatic Arthritis"
cetirizine,"Conjunctivitis, Allergic, Allergic Rhinitis, Eustachian Tube Dysfunction, Urticaria, Physical Urticaria"
cetrorelix,Ovulation Induction
cetuximab,"Colorectal Cancer, Pancreatic Cancer, Squamous Cell Carcinoma, Head and Neck Cancer"
cevimeline,Sjogren's Syndrome
chenodeoxycholic acid,Gallbladder Disease
chlophedianol,Rhinorrhea
chlorambucil,"Cancer, Chronic Lymphocytic Leukemia, Hodgkin's Lymphoma, Lymphoma"
chloramphenicol,"Anthrax, Brucellosis, Plague, Cholera, Glanders, Lemierre's Syndrome, Meningitis, Ornithosis, Psittacosis, Rabbit Fever (Tularemia), Rickettsial Infection"
chlordiazepoxide,"Alcohol Withdrawal, Burning Mouth Syndrome (Glossopyrosis), Enterocolitis, Irritable Bowel Syndrome, Light Sedation, Opiate Withdrawal, Peptic Ulcer, Tardive Dyskinesia"
chlorhexidine,"Gingivitis, Mucositis, Periodontitis, Skin Disinfection, Preoperative"
chloroprocaine,Local Anesthesia
chloroquine,"Amebiasis, Malaria, Malaria Prevention (Malaria Prophylaxis), Sarcoidosis"
chlorpheniramine,"Allergic Reactions, Allergies, Cough, Cold Symptoms, Cold Symptoms, Cough and Nasal Congestion, Influenza, Influenza, Influenza, Urticaria, Rhinorrhea, Rhinorrhea, Rhinitis, Sinus Symptoms"
chlorpromazine,"Porphyria, Schizophrenia, Hiccups, Mania, Light Sedation, Opiate Withdrawal, Psychosis, Tetanus"
chlorthalidone,Edema
chlorzoxazone,Muscle Spasm (Involuntary Hypertonicity)
cholecalciferol,"Osteopenia, Prevention of Falls, Prevention of Fractures, Vitamin D Deficiency, Vitamin D Insufficiency"
"cholera vaccine, live",Cholera Prophylaxis
cholestyramine,"Crohn's Disease, Dumping Syndrome, Hyperlipoproteinemia Type IIa, Elevated LDL, Hyperlipoproteinemia Type IIb, Elevated LDL   VLDL, Hyperlipoproteinemia, Irritable Bowel Syndrome, Post-Cholecystectomy Diarrhea, Pruritus of Partial Biliary Obstruction"
cholic acid,Bile Acid Synthesis Disorders
choline c-11,Positron Emission Tomography Imaging
chondroitin,"Osteoarthritis, Dietary Supplementation"
chorionic gonadotropin (hcg),"Female Infertility, Hypogonadism, Male, Ovulation Induction, Prepubertal Cryptorchidism"
chromic chloride hexahydrate,Total Parenteral Nutrition
chromium picolinate,Vitamin/Mineral Supplementation and Deficiency
ciclesonide,Asthma
ciclopirox,"Tinea Pedis, Tinea Corporis, Cutaneous Candidiasis, Onychomycosis, Fingernail, Tinea Cruris, Onychomycosis, Toenail, Tinea Versicolor, Seborrheic Dermatitis"
cidofovir,"CMV Retinitis, Smallpox Vaccine Reaction"
cilastatin,"Aspiration Pneumonia, Bacteremia, Deep Neck Infection, Endocarditis, Endometritis, Febrile Neutropenia, Lemierre's Syndrome, Meningitis, Nosocomial Pneumonia, Pelvic Infections, Peritonitis, Pneumonia with Cystic Fibrosis, Septicemia"
cilostazol,Intermittent Claudication
cimetidine,"Bronchogenic Carcinoma, Cutaneous Mastocytosis, Duodenal Ulcer Prophylaxis, Laryngopharyngeal Reflux, Human Papilloma Virus, Stress Ulcer Prophylaxis, Upper GI Hemorrhage, Zollinger-Ellison Syndrome"
cinacalcet,"Hypercalcemia of Malignancy, Primary Hyperparathyroidism, Secondary Hyperparathyroidism"
ciprofloxacin,"Urinary Tract Infection, Acute Otitis Externa, Acute Otitis Externa, Sinusitis, Anthrax, Anthrax Prophylaxis, Bacteremia, Conjunctivitis, Bacterial, Bacterial Infection, Bladder Infection, Bone infection (Osteomyelitis), Bronchiectasis, Bronchitis, Pneumonia, Plague, Skin or Soft Tissue Infection, Chancroid, Cholera, Prostatitis, Skin and Structure Infection, Corneal Ulcer, Crohn's Disease, Acute, Cutaneous Bacillus anthracis, Diverticulitis, Infectious Diarrhea, Traveler's Diarrhea, Otitis Media, Otitis Externa, Epididymitis, Sexually Transmitted, Febrile Neutropenia, Gastrointestinal Perforation, Gonococcal Infection, Disseminated, Gonococcal Infection, Uncomplicated, Granuloma Inguinale, Tympanostomy Tube Placement Surgery, Infection Prophylaxis, Intraabdominal Infection, Joint Infection, Kidney Infections (Pyelonephritis), Meningococcal Meningitis Prophylaxis, Mycobacterium avium-intracellulare, Treatment, Nosocomial Pneumonia, Ophthalmic Surgery, Peritonitis, Plague Prophylaxis, Pneumonia with Cystic Fibrosis, Pouchitis, Rabbit Fever (Tularemia), Salmonella Enteric Fever, Salmonella Gastroenteritis, Shigellosis, Surgical Prophylaxis, Tuberculosis, Active, Typhoid Fever"
cisatracurium,"Anesthesia, Light Anesthesia"
cisplatin,"Anal Cancer, Bladder Cancer, Blood Cell Transplantation, Bone Marrow Transplantation, Brain Tumor, Cervical Cancer, Non-Small Cell Lung Cancer, Osteogenic Sarcoma, Ovarian Cancer, Testicular Cancer, Neuroblastoma"
citalopram,"Anxiety and Stress, Agitation, Generalized Anxiety Disorder, Occipital Neuralgia, Body Dysmorphic Disorder, Borderline Personality Disorder, Persistent Depressive Disorder, Depression, Postpartum Depression, Excoriation Disorder, Dissociative Identity Disorder, Hot Flashes, Neuralgia, Obsessive Compulsive Disorder, Panic Disorder, Premenstrual Dysphoric Disorder, Somatoform Pain Disorder, Severe Mood Dysregulation, Trichotillomania, Vulvodynia"
citric acid,"Alkylating Agent Cystitis, Urinary Tract Stones, Urinary Tract Stones, Bowel Preparation, Metabolic Acidosis, Urinary Alkalinization, Urinary Alkalinization, Urinary Alkalinization"
cladribine,Hairy Cell Leukemia
clarithromycin,"Sinusitis, Bacterial Endocarditis Prevention (Bacterial Endocarditis Prophylaxis), Bronchitis, Pneumonia, Skin or Soft Tissue Infection, Nongonococcal Urethritis, Skin and Structure Infection, Dental Abscess, Otitis Media, Follicular Lymphoma, Strep Throat (Streptococcal Pharyngitis), Helicobacter Pylori Infection, Helicobacter Pylori Infection, Helicobacter Pylori Infection, Legionella Pneumonia, Mycobacterium avium-intracellulare, Prophylaxis, Mycobacterium avium-intracellulare, Treatment, Mycoplasma Pneumonia, Pertussis, Pertussis Prophylaxis, Pharyngitis, Upper Respiratory Tract Infection, Tonsillitis/Pharyngitis, Toxoplasmosis"
clavulanate,"Urinary Tract Infection, Sinusitis, Aspiration Pneumonia, Bacterial Infection, Bronchiectasis, Bronchitis, Pneumonia, Skin or Soft Tissue Infection, Skin and Structure Infection, Otitis Media, Febrile Neutropenia, Strep Throat (Streptococcal Pharyngitis), Kidney Infections (Pyelonephritis), Melioidosis, Upper Respiratory Tract Infection, Small Bowel Bacterial Overgrowth"
clevidipine,Hypertensive Emergency
clidinium,"Enterocolitis, Irritable Bowel Syndrome, Peptic Ulcer, Peptic Ulcer"
clindamycin,"Acne, Sinusitis, Aspiration Pneumonia, Babesiosis, Bacteremia, Bacterial Endocarditis Prevention (Bacterial Endocarditis Prophylaxis), Bacterial Infection, Bacterial Vaginitis, Bone infection (Osteomyelitis), Pneumonia, Skin or Soft Tissue Infection, Deep Neck Infection, Diverticulitis, Intraabdominal Infection, Joint Infection, Lemierre's Syndrome, Malaria, Pelvic Inflammatory Disease, Perioral Dermatitis, Peritonitis, Pneumocystis Pneumonia, Prevention of Perinatal Group B Streptococcal Disease, Surgical Prophylaxis, Toxoplasmosis, Toxoplasmosis, Prophylaxis"
clioquinol,Tinea Cruris
clobazam,Lennox-Gastaut Syndrome
clobetasol,"Atopic Dermatitis, Anal Itching, Eczema, Cutaneous T-cell Lymphoma, Dermatitis, Dermatological Disorders, Psoriasis, Plantar Fibromatosis, Lichen Planus, Lichen Sclerosus, Necrobiosis Lipoidica Diabeticorum, Seborrheic Dermatitis"
clofazimine,"Leprosy, Leprosy, Dapsone-Resistant, Leprosy, Dapsone-Sensitive, Leprosy, Erythema Nodosum Leprosum"
clomiphene,"Female Infertility, Lactation Suppression, Oligospermia, Ovulation Induction, Pubertal Gynecomastia"
clomipramine,"Obsessive Compulsive Disorder, Premature Ejaculation, Sleep Paralysis, Trichotillomania"
clonazepam,"Anxiety, Benzodiazepine Withdrawal, Bipolar Disorder, Burning Mouth Syndrome (Glossopyrosis), Borderline Personality Disorder, Chronic Myofascial Pain, Cluster-Tic Syndrome, Insomnia, Restless Legs Syndrome, Hyperekplexia, Migraine Prevention (Migraine Prophylaxis), Night Terrors, Periodic Limb Movement Disorder, Obsessive Compulsive Disorder, Panic Disorder, Seizure Prevention (Seizure Prophylaxis), Sleep Paralysis, Temporomandibular Joint Disorder"
clonidine,"ADHD (Attention Deficit Hyperactivity Disorder), Atrial Fibrillation, Alcohol Withdrawal, Anxiety, Benzodiazepine Withdrawal, Postural Orthostatic Tachycardia Syndrome, Ulcerative Colitis, High Blood Pressure (Hypertension), Restless Legs Syndrome, Hyperhidrosis, Hypertensive Emergency, Insomnia, Stimulant-Associated, Opiate Withdrawal, Perimenopausal Symptoms, Postherpetic Neuralgia, Pheochromocytoma Diagnosis, Postanesthetic Shivering, Smoking Cessation, Tardive Dyskinesia, Tourette's Syndrome"
clopidogrel,"Acute Coronary Syndrome, Acute Coronary Syndrome, Prophylaxis, Ischemic Stroke, Heart Attack (Myocardial Infarction), Ischemic Stroke, Prophylaxis, Transient Ischemic Attack, Myocardial Infarction, Prophylaxis, Percutaneous Coronary Intervention, Peripheral Arterial Disease, Platelet Aggregation Inhibition"
clorazepate,"Alcohol Withdrawal, Seizure Prevention (Seizure Prophylaxis)"
clotrimazole,"Tinea Pedis, Tinea Pedis, Balanoposthitis, Tinea Corporis, Tinea Corporis, Cutaneous Candidiasis, Oral Thrush, Vaginal Yeast Infection, Tinea Cruris, Tinea Cruris, Intertrigo, Paronychia, Tinea Versicolor"
clozapine,"Borderline Personality Disorder, Schizophrenia, Paranoid Disorder"
coagulation factor Xa,Reversal of Anticoagulation
coagulation factor ix,"Factor IX Deficiency, Hemophilia B"
coagulation factor viia,"Factor VII Deficiency, Glanzmann's Disease, Hemophilia B"
coagulation factor x,Factor X Deficiency
coal tar,Seborrheic Dermatitis
cobimetinib,"Melanoma, Metastatic"
cocaine,Local Anesthesia
codeine,"Muscle Spasm (Involuntary Hypertonicity), Cough, Cough, Cough and Nasal Congestion, Diarrhea, Headache, Rhinorrhea"
colchicine,"Amyloidosis, Aphthous Stomatitis, Recurrent, Behcet's Disease, Primary Biliary Cholangitis, Constipation, Chronic, Familial Mediterranean Fever, Fibromatosis, Gout, Acute, Gout, Prophylaxis, Gouty Arthritis, Linear IgA Disease, Pseudogout, Prophylaxis, Sarcoidosis, Sweet's Syndrome"
colesevelam,"Diarrhea, Chronic, Hyperlipoproteinemia Type IIa, Elevated LDL, Hyperlipoproteinemia"
colestipol,"Hyperlipoproteinemia Type IIa, Elevated LDL, Hyperlipoproteinemia Type IIb, Elevated LDL   VLDL, Hyperlipoproteinemia"
colistimethate,Gram Negative Infection
colistin sulfate,"Acute Otitis Externa, Chronic Otitis Media, Otitis Externa"
collagenase,"Dermal Ulcer, Keratosis"
collagenase clostridium histolyticum,"Dupuytren's contracture, Peyronie's Disease"
conestat alfa,Hereditary Angioedema
conivaptan,"Euvolemic Hyponatremia, SIADH"
conjugated estrogens,"Atrophic Urethritis, Atrophic Vaginitis, Breast Cancer, Palliative, Gender Dysphoria, Hot Flashes, Hypoestrogenism, Oophorectomy, Oophorectomy, Postmenopausal Symptoms, Postmenopausal Symptoms, Prevention of Osteoporosis, Primary Ovarian Failure, Primary Ovarian Failure"
copanlisib,Follicular Lymphoma
corticorelin,Cushing's Syndrome
corticotropin,"Allergies, Chorioditis, Chorioretinitis, Erythema Mulitforme, Eye Conditions, Focal Segmental Glomerulosclerosis, Inflammatory Bowel Disease, Iridocyclitis, Iritis, Keratitis, Optic Neuritis, Polymyositis/Dermatomyositis, Sarcoidosis, Serum Sickness, Stevens-Johnson Syndrome, West Syndrome"
cortisone,"Adrenal Insufficiency, Berylliosis, Bursitis, Chorioditis, Chorioretinitis, Nephrotic Syndrome, Conjunctivitis, Dermatomyositis, Epicondylitis, Tennis Elbow, Erythroblastopenia, Gouty Arthritis, Hemolytic Anemia, Iridocyclitis, Iritis, Loeffler's Syndrome (Pulmonary Eosinophilia), Sarcoidosis"
cosyntropin,Adrenocortical Insufficiency
crizanlizumab,"Anemia, Sickle Cell"
crizotinib,Non-Small Cell Lung Cancer
cromolyn,"Conjunctivitis, Allergic, Inflammatory Bowel Disease, Keratoconjunctivitis, Systemic Mastocytosis"
crotamiton,Scabies
cyanocobalamin,"B12 Nutritional Deficiency, Pernicious Anemia, Schilling Test, Vitamin B12 Deficiency"
cyclobenzaprine,"Migraine, Muscle Spasm (Involuntary Hypertonicity), Chronic Myofascial Pain, Fibromyalgia, Sciatica, Temporomandibular Joint Disorder"
cyclopentolate,"Pupillary Dilation, Refraction, Assessment, Uveitis"
cyclophosphamide,"Acute Lymphocytic Leukemia, Acute Nonlymphocytic Leukemia, IgA Nephropathy, Bladder Cancer, Osteosarcoma, Brain Tumor, Breast Cancer, Bullous Pemphigoid, Cancer, Cervical Cancer, Chronic Lymphocytic Leukemia, Chronic Myelogenous Leukemia, Endometrial Cancer, Hodgkin's Lymphoma, Small Cell Lung Cancer, Multiple Myeloma, Wilms' Tumor (Nephroblastoma), Non-Hodgkin's Lymphoma, Testicular Cancer, Systemic Sclerosis, Cogan's Syndrome, Nephrotic Syndrome, Scleroderma, Dermatomyositis, Diffuse Large B-Cell Lymphoma, Ewing's Sarcoma, Granulomatosis with Polyangiitis, Histiocytosis, Mantle Cell Lymphoma, Mycosis Fungoides, Neuroblastoma, Organ Transplant, Rejection Prophylaxis, Pemphigoid, Pemphigus"
cycloserine,"Tuberculosis, Extrapulmonary"
cyclosporine,"Cogan's Syndrome, Nephrotic Syndrome, Crohn's Disease, Dry Eye Disease (Keratoconjunctivitis Sicca), Psoriasis, Evan's Syndrome, Focal Segmental Glomerulosclerosis, Graft-versus-host disease, Inflammatory Bowel Disease, Idiopathic Thrombocytopenic Purpura, Organ Transplant, Rejection Prophylaxis, Pemphigus, Ulcerative Colitis, Active"
cyproheptadine,"Allergic Reactions, Anorexia, Anorexia Nervosa, Sexual Dysfunction, SSRI Induced, Cluster Headaches, Cushing's Syndrome, Failure to Thrive, Pruritus"
cysteamine,"Corneal Cystine Crystal Accumulation, Nephropathic Cystinosis"
cytarabine,"Acute Myeloid Leukemia, Acute Nonlymphocytic Leukemia, Chronic Myelogenous Leukemia, Leukemia, Meningeal Leukemia, Non-Hodgkin's Lymphoma, Mantle Cell Lymphoma"
cytarabine liposomal,Acute Myeloid Leukemia
cytomegalovirus immune globulin,CMV Prophylaxis
dabigatran,"Deep Vein Thrombosis, Deep Vein Thrombosis, Prophylaxis, Deep Vein Thrombosis/Pulmonary Embolism Prophylaxis Following Hip Replacement Surgery, Prevention of Thromboembolism in Atrial Fibrillation, Pulmonary Embolism"
dabrafenib,"Thyroid Cancer, Melanoma, Metastatic"
dacarbazine,"Hodgkin's Lymphoma, Melanoma, Melanoma, Metastatic"
daclizumab,"Organ Transplant, Rejection Prophylaxis"
dactinomycin,"Osteosarcoma, Cancer, Wilms' Tumor (Nephroblastoma), Testicular Cancer, Trophoblastic Disease, Ewing's Sarcoma, Rhabdomyosarcoma"
dalfampridine,Multiple Sclerosis
dalfopristin,Methicillin-Resistant Staphylococcus Aureus Infection
dalteparin,"Deep Vein Thrombosis Prophylaxis after Abdominal Surgery, Deep Vein Thrombosis Prophylaxis after Hip Replacement Surgery, Deep Vein Thrombosis Prophylaxis after Orthopedic Surgery, Deep Vein Thrombosis, Prophylaxis, Venous Thromboembolism"
danazol,"Angioedema, Endometriosis, Evan's Syndrome, Fibrocystic Breast Disease"
dantrolene,"Chronic Spasticity, Malignant Hyperthermia"
dapsone,"Bullous Pemphigoid, Dermatitis Herpetiformis, Linear IgA Disease, Leprosy, Leprosy, Lepromatous, Leprosy, Tuberculoid, Leukocytoclastic Vasculitis, Pemphigoid, Pemphigus, Pneumocystis Pneumonia, Pneumocystis Pneumonia Prophylaxis, Toxoplasmosis, Prophylaxis"
daptomycin,"Methicillin-Resistant Staphylococcus Aureus Infection, Endocarditis"
daratumumab,Multiple Myeloma
darbepoetin alfa,"Anemia Associated with Chronic Renal Failure, Anemia, Chemotherapy Induced"
darifenacin,"Overactive Bladder, Urinary Incontinence, Urinary Frequency"
dasabuvir,Hepatitis C
dasatinib,"Acute Lymphoblastic Leukemia, Chronic Myelogenous Leukemia, Leukemia"
daunorubicin,"Acute Lymphocytic Leukemia, Acute Myeloid Leukemia, Acute Nonlymphocytic Leukemia"
daunorubicin liposomal,Acute Myeloid Leukemia
decitabine,"Acute Myeloid Leukemia, Myelodysplastic Syndrome"
deferasirox,"Thalassemia, Hemochromatosis, Hemosiderosis, Iron Overload"
deferiprone,"Thalassemia, Hemosiderosis, Iron Overload, Superficial Siderosis"
deferoxamine,"Iron Poisoning, Acute, Iron Poisoning, Chronic"
defibrotide,Hepatic Veno-Occlusive Disease
deflazacort,Duchenne Muscular Dystrophy
degarelix,Prostate Cancer
dehydroepiandrosterone,Dyspareunia
demeclocycline,SIADH
denosumab,"Osteolytic Bone Metastases of Solid Tumors, Osteoporosis, Giant Cell Tumor of Bone, Hypercalcemia of Malignancy, Osteolytic Bone Lesions of Multiple Myeloma"
deoxycholic acid,Submental Fullness
desipramine,Vulvodynia
desirudin,"Deep Vein Thrombosis, Prophylaxis"
desmopressin,"Diabetes Insipidus, Hemophilia A, Nocturia, Primary Nocturnal Enuresis, von Willebrand Disease"
desogestrel,"Abnormal Uterine Bleeding, Gonadotropin Inhibition, Polycystic Ovary Syndrome"
desonide,"Atopic Dermatitis, Eczema, Dermatitis, Psoriasis"
desoximetasone,"Atopic Dermatitis, Eczema, Dermatitis"
desvenlafaxine,"Post Traumatic Stress Disorder, Narcolepsy, Hot Flashes, Neuralgia, Somatoform Pain Disorder"
deutetrabenazine,"Huntington's Disease, Tardive Dyskinesia"
dexamethasone,"Asthma, acute, Acute Otitis Externa, Addison's Disease, Adrenal Insufficiency, Adrenocortical Insufficiency, Adrenogenital Syndrome, Atopic Dermatitis, Aspiration Pneumonia, Aphthous Ulcer, Asthma, Eczema, Conjunctivitis, Bacterial, Conjunctivitis, Bacterial, Blepharitis, Bronchopulmonary Dysplasia, Bursitis, Leukemia, Lymphoma, Multiple Myeloma, Cerebral Edema, Chorioretinitis, Conjunctivitis, Crohn's Disease, Acute, Croup, Cushing's Syndrome, Cyclitis, Synovitis, Dermatitis Herpetiformis, Diabetic Macular Edema, Systemic Lupus Erythematosus, Otitis Media, Otitis Externa, Epicondylitis, Tennis Elbow, Erythroblastopenia, Evan's Syndrome, Gouty Arthritis, Hemolytic Anemia, Hypercalcemia of Malignancy, Inflammatory Bowel Disease, Idiopathic Thrombocytopenic Purpura, Inflammatory Conditions, Iridocyclitis, Iritis, Juvenile Rheumatoid Arthritis, Keratitis, Keratitis, Keratitis, Keratoconjunctivitis, Loeffler's Syndrome (Pulmonary Eosinophilia), Toxic Epidermal Necrolysis, Macular Edema, Meningitis, Haemophilus influenzae, Meningitis, Listeriosis, Meningitis, Meningococcal, Meningitis, Pneumococcal, Mountain Sickness / Altitude Sickness, Multiple Sclerosis, Mycosis Fungoides, Nausea/Vomiting, Chemotherapy Induced, Neurosarcoidosis, Pemphigus, Plaque Psoriasis, Postoperative Ocular Inflammation, Postoperative Ocular Inflammation, Psoriatic Arthritis, Pulmonary Tuberculosis, Sarcoidosis, Seborrheic Dermatitis, Shock, Thrombocytopenia, Transverse Myelitis, Tuberculous Meningitis, Uveitis, Uveitis, Uveitis, Uveitis, Posterior"
dexbrompheniramine,"Allergies, Allergies, Rhinorrhea, Rhinorrhea, Sinus Symptoms"
dexlansoprazole,"GERD, Barrett's Esophagus, Erosive Esophagitis"
dexmedetomidine,Sedation
dexmethylphenidate,Auditory Processing Disorder
dexrazoxane,"Cardiomyopathy Prophylaxis, Extravasation"
"dextran, high molecular weight",Bleeding Disorder
"dextran, low molecular weight",Venous Thromboembolism
dextranomer,Fecal Incontinence
dextroamphetamine,"ADHD (Attention Deficit Hyperactivity Disorder), ADHD (Attention Deficit Hyperactivity Disorder), Sexual Dysfunction, SSRI Induced, Narcolepsy, Narcolepsy, Drowsiness (Hypersomnia), Fatigue, Fatigue"
dextromethorphan,"Cough, Cough, Cough, Cough and Nasal Congestion, Cough and Nasal Congestion, Expectoration (Mucolysis), Influenza, Influenza, Influenza, Influenza, Pain/Fever, Pain/Fever, Pseudobulbar Affect, Rhinorrhea, Rhinorrhea, Rhinorrhea, Sinus Symptoms"
diazepam,"Seizures (Convulsions), Alcohol Withdrawal, Anxiety, Borderline Personality Disorder, Muscle Spasm (Involuntary Hypertonicity), Endoscopy or Radiology Premedication, Hyperekplexia, ICU Agitation, Light Anesthesia, Light Sedation, Meniere's Disease, Night Terrors, Seizure Prevention (Seizure Prophylaxis), Status Epilepticus, Temporomandibular Joint Disorder, Tetanus"
diazoxide,"Hypertensive Emergency, Hypoglycemia"
dibucaine,"Hemorrhoids, Local Anesthesia"
dichlorphenamide,"Hyperkalemic Periodic Paralysis, Hypokalemic Periodic Paralysis, Primary Periodic Paralysis"
diclofenac,"Muscle Pain, Frozen Shoulder, Ankylosing Spondylitis, Rheumatoid Arthritis, Osteoarthritis, Aseptic Necrosis, Back Pain, Migraine, Conjunctivitis, Corneal Ulcer, Period Pain (Dysmenorrhea), Inhibition of Intraoperative Miosis, Keratoconjunctivitis, Keratosis, Postoperative Ocular Inflammation, Sciatica, Sciatica, Spondyloarthritis"
dicloxacillin,"Bone infection (Osteomyelitis), Skin or Soft Tissue Infection, Pharyngitis"
dicyclomine,"Noninfectious Colitis, Irritable Bowel Syndrome"
dienogest,Menorrhagia
diethylpropion,Obesity
difenoxin,"Diarrhea, Chronic, Diarrhea, Acute"
diflorasone,Skin Rash
difluprednate,"Postoperative Ocular Inflammation, Uveitis"
digoxin,"Atrial Fibrillation, Heart Failure (Congestive Heart Failure)"
digoxin immune fab,Digitalis Glycoside Toxicity
dihydroergotamine,Cluster Headaches
diltiazem,"Atrial Fibrillation, Angina Pectoris Prophylaxis, Atrial Flutter, Raynaud's Syndrome, Supraventricular Tachycardia"
dimenhydrinate,"Motion Sickness, Nausea/Vomiting"
dimercaprol,"Arsenic Poisoning, Gold Poisoning, Severe, Mercury Poisoning"
dimethyl fumarate,Multiple Sclerosis
dimethyl sulfoxide,Interstitial Cystitis
dinoprostone,"Abortion, Trophoblastic Disease, Labor Induction"
dinutuximab,Neuroblastoma
diphenhydramine,"Allergic Reactions, Allergic Rhinitis, Cough, Cold Symptoms, Insomnia, Eustachian Tube Dysfunction, Extrapyramidal Reaction, Influenza, Urticaria, Pruritus, Motion Sickness, Nausea/Vomiting"
diphenoxylate,Diarrhea
diphtheria and tetanus toxoids,"Diphtheria Prophylaxis, Diphtheria Prophylaxis, Haemophilus influenzae Prophylaxis, Hepatitis B Prevention (Hepatitis B Prophylaxis), Pertussis Prophylaxis, Pertussis Prophylaxis, Poliomyelitis Prophylaxis, Tetanus Prophylaxis, Tetanus Prophylaxis"
diphtheria toxoid,"Diphtheria Prophylaxis, Diphtheria Prophylaxis, Diphtheria Prophylaxis, Diphtheria Prophylaxis, Diphtheria Prophylaxis, Haemophilus influenzae Prophylaxis, Haemophilus influenzae Prophylaxis, Hepatitis B Prevention (Hepatitis B Prophylaxis), Pertussis Prophylaxis, Pertussis Prophylaxis, Pertussis Prophylaxis, Pertussis Prophylaxis, Poliomyelitis Prophylaxis, Poliomyelitis Prophylaxis, Poliomyelitis Prophylaxis, Tetanus Prophylaxis, Tetanus Prophylaxis, Tetanus Prophylaxis, Tetanus Prophylaxis, Tetanus Prophylaxis"
